Wall time,Step,Value
1663164093.347667,5000,1200.8739013671875
1663164204.5969858,10000,1200.99853515625
1663164361.2223365,15000,1201.6138916015625
1663164512.6785738,20000,1201.731689453125
1663164792.5435584,25000,1200.471435546875
1663164991.370825,30000,1200.9700927734375
1663165276.6537569,35000,1200.9700927734375
1663165657.3026478,40000,1201.025390625
1663166070.6240854,45000,1201.455810546875
1663166669.5354195,50000,1201.8612060546875
1663167102.8833551,55000,1202.4422607421875
1663167702.518358,60000,1204.406982421875
1663168165.8540142,65000,1206.874267578125
1663168340.5359282,70000,1207.8660888671875
1663168527.2473803,75000,1208.6060791015625
1663168729.4739487,80000,1209.4058837890625
1663168977.2900255,85000,1210.20068359375
1663169274.8046312,90000,1212.47607421875
1663169576.4897134,95000,1214.208740234375
1663169903.1297326,100000,1214.499267578125
1663170066.0367239,105000,1216.988037109375
1663170180.9783192,110000,1218.083740234375
1663170323.8510292,115000,1220.216552734375
1663170439.3653288,120000,1222.5611572265625
1663170574.4697874,125000,1224.256591796875
1663170766.8004463,130000,1224.4974365234375
1663170921.5350628,135000,1224.4974365234375
1663171060.7522757,140000,1225.3375244140625
1663171262.1174748,145000,1226.675537109375
1663171445.233953,150000,1227.5631103515625
1663171787.6479142,155000,1228.7464599609375
1663172153.080516,160000,1230.11279296875
1663172608.899073,165000,1231.3902587890625
1663172704.564281,170000,1233.2830810546875
1663172857.7440853,175000,1233.8885498046875
1663173020.3631477,180000,1234.83837890625
1663173252.0030882,185000,1235.575439453125
1663173464.2849505,190000,1235.575439453125
1663173672.8926582,195000,1237.08837890625
1663173961.6905143,200000,1240.392822265625
1663174364.048548,205000,1241.964111328125
1663174673.6248863,210000,1241.8638916015625
1663175060.559327,215000,1243.457763671875
1663175405.555409,220000,1245.40771484375
1663175546.6058984,225000,1245.4908447265625
1663175719.4600704,230000,1245.364013671875
1663175870.2852347,235000,1245.486572265625
1663176000.522392,240000,1246.7918701171875
1663176235.752612,245000,1247.4007568359375
1663176412.5172417,250000,1249.5386962890625
1663176634.8369353,255000,1251.9979248046875
1663176901.4885395,260000,1253.8935546875
