Wall time,Step,Value
1663251036.536239,5000,1199.9298095703125
1663251187.2792852,10000,1200.00146484375
1663251339.0745547,15000,1200.00146484375
1663251593.055214,20000,1200.00146484375
1663251796.0648453,25000,1200.00146484375
1663252004.5013323,30000,1200.625
1663252315.6818368,35000,1202.572021484375
1663252472.8368018,40000,1205.27197265625
1663252597.2904096,45000,1207.8369140625
1663252726.9763668,50000,1209.02392578125
1663252875.4152246,55000,1210.61376953125
1663253034.6925886,60000,1212.3037109375
1663253233.34961,65000,1215.50146484375
1663253425.432948,70000,1216.8753662109375
1663253665.954911,75000,1217.9471435546875
1663254109.0661323,80000,1219.244873046875
1663254455.1826673,85000,1219.3243408203125
1663254965.302578,90000,1220.1075439453125
1663255458.5637226,95000,1220.01318359375
1663256118.458102,100000,1219.9764404296875
1663256827.4155583,105000,1220.2012939453125
1663257569.5400755,110000,1223.0501708984375
1663257675.1279087,115000,1222.796630859375
1663257918.520063,120000,1223.9544677734375
1663258050.2711573,125000,1226.5042724609375
1663258228.5365582,130000,1230.0928955078125
1663258436.0107992,135000,1233.73095703125
1663258716.5722587,140000,1236.0093994140625
1663258997.8298519,145000,1237.091064453125
1663259349.2497337,150000,1240.0799560546875
1663259655.561072,155000,1242.5076904296875
1663259775.2944443,160000,1243.2020263671875
1663259903.2539272,165000,1243.6982421875
1663260075.28535,170000,1243.8834228515625
1663260329.0913105,175000,1244.966552734375
1663260802.1242173,180000,1248.826171875
1663260917.9269161,185000,1249.571044921875
1663261095.014156,190000,1251.302490234375
1663261357.857261,195000,1252.293212890625
1663261471.7407258,200000,1254.0377197265625
1663261697.1165967,205000,1254.533935546875
1663261843.1525156,210000,1254.533935546875
1663262068.6997826,215000,1254.426025390625
1663262395.9533513,220000,1254.012451171875
1663262571.4834292,225000,1254.6539306640625
1663262749.6069357,230000,1255.6326904296875
1663262902.6413417,235000,1256.989013671875
1663263083.834133,240000,1257.5775146484375
1663263209.46149,245000,1258.9395751953125
1663263366.1327848,250000,1259.4205322265625
1663263489.7772439,255000,1260.9913330078125
1663263656.627498,260000,1262.277099609375
1663263767.9010384,265000,1265.5816650390625
1663263885.033575,270000,1266.8939208984375
1663264031.570859,275000,1267.09619140625
1663264144.1628168,280000,1267.09619140625
1663264258.3180816,285000,1268.406982421875
