Wall time,Step,Value
1662205601.4252894,10000,1199.6676025390625
1662205812.7792876,15000,1199.7557373046875
1662206013.5797915,20000,1200.5072021484375
1662206173.0491972,25000,1201.0057373046875
1662206414.7342575,30000,1201.7506103515625
1662207777.9660838,45000,1201.9984130859375
1662207974.4515007,50000,1201.9984130859375
1662208148.4325926,55000,1201.997802734375
1662208356.699456,60000,1201.748779296875
1662208542.8406518,65000,1201.9991455078125
1662208732.181641,70000,1201.9991455078125
1662208915.709873,75000,1201.9991455078125
1662209110.2434773,80000,1201.832275390625
1662209316.929809,85000,1201.4984130859375
1662209541.2249398,90000,1201.373779296875
1662209723.4167852,95000,1200.5028076171875
1662209898.2386944,100000,1200.1142578125
1662210113.9263606,105000,1200.109619140625
1662210287.854313,110000,1200.0269775390625
1662210526.9693885,115000,1199.5284423828125
1662210722.6828125,120000,1198.73583984375
1662210977.9731624,125000,1198.8494873046875
1662211179.207553,130000,1198.8914794921875
1662211454.1623738,135000,1197.982666015625
1662211757.266987,140000,1197.00634765625
1662211990.560081,145000,1197.1904296875
1662212234.322734,150000,1196.3865966796875
1662212541.8123689,155000,1194.068115234375
1662212858.7566895,160000,1192.864990234375
1662213132.9225173,165000,1192.742431640625
1662213469.5196025,170000,1191.921142578125
1662213808.2134538,175000,1192.1279296875
1662214133.8787932,180000,1192.6220703125
1662214442.3914623,185000,1193.34423828125
1662214829.713294,190000,1192.85791015625
1662215206.1321306,195000,1192.615478515625
1662215631.034928,200000,1192.545166015625
,35000,1201.7605448634
,40000,1201.9846214457425
