,Wall time,Step,Value,group
0,1662205601.4252894,10000,1199.6676025390625,20220903_TEArmy.csv
1,1662205812.7792876,15000,1199.7557373046875,20220903_TEArmy.csv
2,1662206013.5797915,20000,1200.5072021484375,20220903_TEArmy.csv
3,1662206173.0491972,25000,1201.0057373046875,20220903_TEArmy.csv
4,1662206414.7342577,30000,1201.7506103515625,20220903_TEArmy.csv
5,1662207777.9660838,45000,1201.9984130859375,20220903_TEArmy.csv
6,1662207974.451501,50000,1201.9984130859375,20220903_TEArmy.csv
7,1662208148.4325926,55000,1201.997802734375,20220903_TEArmy.csv
8,1662208356.699456,60000,1201.748779296875,20220903_TEArmy.csv
9,1662208542.8406518,65000,1201.9991455078125,20220903_TEArmy.csv
10,1662208732.181641,70000,1201.9991455078125,20220903_TEArmy.csv
11,1662208915.709873,75000,1201.9991455078125,20220903_TEArmy.csv
12,1662209110.243477,80000,1201.832275390625,20220903_TEArmy.csv
13,1662209316.929809,85000,1201.4984130859375,20220903_TEArmy.csv
14,1662209541.2249398,90000,1201.373779296875,20220903_TEArmy.csv
15,1662209723.4167852,95000,1200.5028076171875,20220903_TEArmy.csv
16,1662209898.2386944,100000,1200.1142578125,20220903_TEArmy.csv
17,1662210113.9263606,105000,1200.109619140625,20220903_TEArmy.csv
18,1662210287.854313,110000,1200.0269775390625,20220903_TEArmy.csv
19,1662210526.9693885,115000,1199.5284423828125,20220903_TEArmy.csv
20,1662210722.6828125,120000,1198.73583984375,20220903_TEArmy.csv
21,1662210977.9731624,125000,1198.8494873046875,20220903_TEArmy.csv
22,1662211179.207553,130000,1198.8914794921875,20220903_TEArmy.csv
23,1662211454.1623738,135000,1197.982666015625,20220903_TEArmy.csv
24,1662211757.266987,140000,1197.00634765625,20220903_TEArmy.csv
25,1662211990.560081,145000,1197.1904296875,20220903_TEArmy.csv
26,1662212234.322734,150000,1196.3865966796875,20220903_TEArmy.csv
27,1662212541.8123689,155000,1194.068115234375,20220903_TEArmy.csv
28,1662212858.7566895,160000,1192.864990234375,20220903_TEArmy.csv
29,1662213132.9225173,165000,1192.742431640625,20220903_TEArmy.csv
30,1662213469.5196023,170000,1191.921142578125,20220903_TEArmy.csv
31,1662213808.2134538,175000,1192.1279296875,20220903_TEArmy.csv
32,1662214133.8787932,180000,1192.6220703125,20220903_TEArmy.csv
33,1662214442.3914623,185000,1193.34423828125,20220903_TEArmy.csv
34,1662214829.713294,190000,1192.85791015625,20220903_TEArmy.csv
35,1662215206.1321306,195000,1192.615478515625,20220903_TEArmy.csv
36,1662215631.034928,200000,1192.545166015625,20220903_TEArmy.csv
0,1662921312.442469,5000,1201.246826171875,20220912_TEArmy.csv
1,1662921467.6607614,10000,1202.2320556640625,20220912_TEArmy.csv
2,1662921657.1661975,15000,1202.9656982421875,20220912_TEArmy.csv
3,1662921819.5227714,20000,1203.2432861328125,20220912_TEArmy.csv
4,1662922103.398248,25000,1205.1544189453125,20220912_TEArmy.csv
5,1662922564.0978458,30000,1206.2562255859375,20220912_TEArmy.csv
6,1662922914.2375166,35000,1207.579345703125,20220912_TEArmy.csv
7,1662923449.1168845,40000,1207.15625,20220912_TEArmy.csv
8,1662924010.7525475,45000,1208.222412109375,20220912_TEArmy.csv
9,1662924147.35261,50000,1209.3836669921875,20220912_TEArmy.csv
10,1662924326.7549336,55000,1209.9378662109375,20220912_TEArmy.csv
11,1662924503.762565,60000,1210.207275390625,20220912_TEArmy.csv
12,1662924729.9555168,65000,1211.943359375,20220912_TEArmy.csv
13,1662925009.7409365,70000,1212.09130859375,20220912_TEArmy.csv
14,1662972167.0955093,75000,1213.5078125,20220912_TEArmy.csv
15,1662972266.925115,80000,1214.00634765625,20220912_TEArmy.csv
16,1662972402.223734,85000,1214.167236328125,20220912_TEArmy.csv
17,1662972604.0416777,90000,1213.9991455078125,20220912_TEArmy.csv
18,1662972759.898285,95000,1214.4906005859375,20220912_TEArmy.csv
19,1662972969.6655166,100000,1216.7166748046875,20220912_TEArmy.csv
20,1662973241.6549842,105000,1219.124755859375,20220912_TEArmy.csv
21,1662973540.4164095,110000,1220.611572265625,20220912_TEArmy.csv
22,1662974016.0731232,115000,1222.455810546875,20220912_TEArmy.csv
23,1662974549.10262,120000,1222.7012939453125,20220912_TEArmy.csv
24,1662975282.7441776,125000,1223.235107421875,20220912_TEArmy.csv
25,1662975942.261134,130000,1224.519775390625,20220912_TEArmy.csv
26,1662976770.344806,135000,1225.9447021484375,20220912_TEArmy.csv
27,1662977697.9147732,140000,1226.301025390625,20220912_TEArmy.csv
28,1662978794.711202,145000,1228.298828125,20220912_TEArmy.csv
29,1662979981.8212311,150000,1228.15087890625,20220912_TEArmy.csv
30,1662981236.8750622,155000,1229.4888916015625,20220912_TEArmy.csv
31,1662982541.651431,160000,1231.4376220703125,20220912_TEArmy.csv
32,1662983925.1250868,165000,1231.8896484375,20220912_TEArmy.csv
33,1662985371.990218,170000,1231.8896484375,20220912_TEArmy.csv
34,1662987212.062884,175000,1232.93212890625,20220912_TEArmy.csv
35,1662988606.999118,180000,1236.328857421875,20220912_TEArmy.csv
36,1662990629.0812387,185000,1239.3055419921875,20220912_TEArmy.csv
0,1663164093.347667,5000,1200.8739013671875,20220914_TEArmy.csv
1,1663164204.5969858,10000,1200.99853515625,20220914_TEArmy.csv
2,1663164361.2223363,15000,1201.6138916015625,20220914_TEArmy.csv
3,1663164512.6785738,20000,1201.731689453125,20220914_TEArmy.csv
4,1663164792.5435584,25000,1200.471435546875,20220914_TEArmy.csv
5,1663164991.370825,30000,1200.9700927734375,20220914_TEArmy.csv
6,1663165276.6537569,35000,1200.9700927734375,20220914_TEArmy.csv
7,1663165657.3026478,40000,1201.025390625,20220914_TEArmy.csv
8,1663166070.6240854,45000,1201.455810546875,20220914_TEArmy.csv
9,1663166669.5354197,50000,1201.8612060546875,20220914_TEArmy.csv
10,1663167102.8833551,55000,1202.4422607421875,20220914_TEArmy.csv
11,1663167702.518358,60000,1204.406982421875,20220914_TEArmy.csv
12,1663168165.8540142,65000,1206.874267578125,20220914_TEArmy.csv
13,1663168340.5359282,70000,1207.8660888671875,20220914_TEArmy.csv
14,1663168527.2473805,75000,1208.6060791015625,20220914_TEArmy.csv
15,1663168729.4739487,80000,1209.4058837890625,20220914_TEArmy.csv
16,1663168977.2900257,85000,1210.20068359375,20220914_TEArmy.csv
17,1663169274.8046312,90000,1212.47607421875,20220914_TEArmy.csv
18,1663169576.4897134,95000,1214.208740234375,20220914_TEArmy.csv
19,1663169903.1297326,100000,1214.499267578125,20220914_TEArmy.csv
20,1663170066.036724,105000,1216.988037109375,20220914_TEArmy.csv
21,1663170180.9783192,110000,1218.083740234375,20220914_TEArmy.csv
22,1663170323.8510292,115000,1220.216552734375,20220914_TEArmy.csv
23,1663170439.3653288,120000,1222.5611572265625,20220914_TEArmy.csv
24,1663170574.4697874,125000,1224.256591796875,20220914_TEArmy.csv
25,1663170766.8004465,130000,1224.4974365234375,20220914_TEArmy.csv
26,1663170921.5350628,135000,1224.4974365234375,20220914_TEArmy.csv
27,1663171060.7522757,140000,1225.3375244140625,20220914_TEArmy.csv
28,1663171262.1174748,145000,1226.675537109375,20220914_TEArmy.csv
29,1663171445.233953,150000,1227.5631103515625,20220914_TEArmy.csv
30,1663171787.6479142,155000,1228.7464599609375,20220914_TEArmy.csv
31,1663172153.080516,160000,1230.11279296875,20220914_TEArmy.csv
32,1663172608.899073,165000,1231.3902587890625,20220914_TEArmy.csv
33,1663172704.564281,170000,1233.2830810546875,20220914_TEArmy.csv
34,1663172857.7440853,175000,1233.8885498046875,20220914_TEArmy.csv
35,1663173020.3631475,180000,1234.83837890625,20220914_TEArmy.csv
36,1663173252.0030882,185000,1235.575439453125,20220914_TEArmy.csv
37,1663173464.2849505,190000,1235.575439453125,20220914_TEArmy.csv
38,1663173672.8926582,195000,1237.08837890625,20220914_TEArmy.csv
39,1663173961.6905143,200000,1240.392822265625,20220914_TEArmy.csv
40,1663174364.048548,205000,1241.964111328125,20220914_TEArmy.csv
41,1663174673.6248865,210000,1241.8638916015625,20220914_TEArmy.csv
42,1663175060.559327,215000,1243.457763671875,20220914_TEArmy.csv
43,1663175405.555409,220000,1245.40771484375,20220914_TEArmy.csv
44,1663175546.6058984,225000,1245.4908447265625,20220914_TEArmy.csv
45,1663175719.4600704,230000,1245.364013671875,20220914_TEArmy.csv
46,1663175870.2852347,235000,1245.486572265625,20220914_TEArmy.csv
47,1663176000.522392,240000,1246.7918701171875,20220914_TEArmy.csv
48,1663176235.752612,245000,1247.4007568359375,20220914_TEArmy.csv
49,1663176412.5172417,250000,1249.5386962890625,20220914_TEArmy.csv
50,1663176634.8369353,255000,1251.9979248046875,20220914_TEArmy.csv
51,1663176901.4885397,260000,1253.8935546875,20220914_TEArmy.csv
0,1663251036.536239,5000,1199.9298095703125,20220915_TEArmy.csv
1,1663251187.2792852,10000,1200.00146484375,20220915_TEArmy.csv
2,1663251339.0745547,15000,1200.00146484375,20220915_TEArmy.csv
3,1663251593.055214,20000,1200.00146484375,20220915_TEArmy.csv
4,1663251796.064845,25000,1200.00146484375,20220915_TEArmy.csv
5,1663252004.5013323,30000,1200.625,20220915_TEArmy.csv
6,1663252315.6818368,35000,1202.572021484375,20220915_TEArmy.csv
7,1663252472.8368018,40000,1205.27197265625,20220915_TEArmy.csv
8,1663252597.2904096,45000,1207.8369140625,20220915_TEArmy.csv
9,1663252726.9763668,50000,1209.02392578125,20220915_TEArmy.csv
10,1663252875.4152246,55000,1210.61376953125,20220915_TEArmy.csv
11,1663253034.6925886,60000,1212.3037109375,20220915_TEArmy.csv
12,1663253233.34961,65000,1215.50146484375,20220915_TEArmy.csv
13,1663253425.432948,70000,1216.8753662109375,20220915_TEArmy.csv
14,1663253665.954911,75000,1217.9471435546875,20220915_TEArmy.csv
15,1663254109.0661323,80000,1219.244873046875,20220915_TEArmy.csv
16,1663254455.1826673,85000,1219.3243408203125,20220915_TEArmy.csv
17,1663254965.302578,90000,1220.1075439453125,20220915_TEArmy.csv
18,1663255458.5637226,95000,1220.01318359375,20220915_TEArmy.csv
19,1663256118.458102,100000,1219.9764404296875,20220915_TEArmy.csv
20,1663256827.4155583,105000,1220.2012939453125,20220915_TEArmy.csv
21,1663257569.5400755,110000,1223.0501708984375,20220915_TEArmy.csv
22,1663257675.1279087,115000,1222.796630859375,20220915_TEArmy.csv
23,1663257918.520063,120000,1223.9544677734375,20220915_TEArmy.csv
24,1663258050.2711573,125000,1226.5042724609375,20220915_TEArmy.csv
25,1663258228.5365582,130000,1230.0928955078125,20220915_TEArmy.csv
26,1663258436.0107992,135000,1233.73095703125,20220915_TEArmy.csv
27,1663258716.5722587,140000,1236.0093994140625,20220915_TEArmy.csv
28,1663258997.829852,145000,1237.091064453125,20220915_TEArmy.csv
29,1663259349.2497337,150000,1240.0799560546875,20220915_TEArmy.csv
30,1663259655.561072,155000,1242.5076904296875,20220915_TEArmy.csv
31,1663259775.2944443,160000,1243.2020263671875,20220915_TEArmy.csv
32,1663259903.2539272,165000,1243.6982421875,20220915_TEArmy.csv
33,1663260075.28535,170000,1243.8834228515625,20220915_TEArmy.csv
34,1663260329.0913105,175000,1244.966552734375,20220915_TEArmy.csv
35,1663260802.1242173,180000,1248.826171875,20220915_TEArmy.csv
36,1663260917.926916,185000,1249.571044921875,20220915_TEArmy.csv
37,1663261095.014156,190000,1251.302490234375,20220915_TEArmy.csv
38,1663261357.857261,195000,1252.293212890625,20220915_TEArmy.csv
39,1663261471.7407258,200000,1254.0377197265625,20220915_TEArmy.csv
40,1663261697.1165967,205000,1254.533935546875,20220915_TEArmy.csv
41,1663261843.1525156,210000,1254.533935546875,20220915_TEArmy.csv
42,1663262068.6997826,215000,1254.426025390625,20220915_TEArmy.csv
43,1663262395.9533513,220000,1254.012451171875,20220915_TEArmy.csv
44,1663262571.4834292,225000,1254.6539306640625,20220915_TEArmy.csv
45,1663262749.6069355,230000,1255.6326904296875,20220915_TEArmy.csv
46,1663262902.6413417,235000,1256.989013671875,20220915_TEArmy.csv
47,1663263083.834133,240000,1257.5775146484375,20220915_TEArmy.csv
48,1663263209.46149,245000,1258.9395751953125,20220915_TEArmy.csv
49,1663263366.1327848,250000,1259.4205322265625,20220915_TEArmy.csv
50,1663263489.777244,255000,1260.9913330078125,20220915_TEArmy.csv
51,1663263656.627498,260000,1262.277099609375,20220915_TEArmy.csv
52,1663263767.9010384,265000,1265.5816650390625,20220915_TEArmy.csv
53,1663263885.033575,270000,1266.8939208984375,20220915_TEArmy.csv
54,1663264031.570859,275000,1267.09619140625,20220915_TEArmy.csv
55,1663264144.1628168,280000,1267.09619140625,20220915_TEArmy.csv
